date,topic,category,time_slot
2026-06-11,The Life of Harriet Tubman,figures,10:00
2026-06-11,The Harlem Renaissance,cultural,18:00
2026-06-12,Dr. Martin Luther King Jr. Speeches,figures,10:00
2026-06-12,The History of Black Wall Street,economic,18:00
2026-06-13,Rosa Parks and the Montgomery Bus Boycott,figures,10:00
2026-06-13,Black Inventors Who Changed the World,inventions,18:00
2026-06-14,The Civil Rights Movement 1960s,movements,10:00
2026-06-14,African American Music History,cultural,18:00
2026-06-15,The Tuskegee Airmen,military,10:00
2026-06-15,Black Women in STEM,figures,18:00
2026-06-16,The Underground Railroad,history,10:00
2026-06-16,Black Cowboys of the American West,cultural,18:00
2026-06-17,The Great Migration,history,10:00
2026-06-17,Modern Black Leaders,figures,18:00
2026-06-18,The Black Panther Party,movements,10:00
2026-06-18,Black Classical Composers,cultural,18:00
2026-06-19,Juneteenth: Freedom Day,history,10:00
2026-06-19,The Harlem Hellfighters,military,18:00
2026-06-20,Black Wall Street Massacre,history,10:00
2026-06-20,African American Folklore,cultural,18:00
2026-06-21,The Freedom Riders,movements,10:00
2026-06-21,Black Architects and Designers,inventions,18:00
2026-06-22,The Life of Malcolm X,figures,10:00
2026-06-22,Black Gospel Music History,cultural,18:00
2026-06-23,The Montgomery Bus Boycott,movements,10:00
2026-06-23,Black Filmmakers and Cinema,cultural,18:00
2026-06-24,The History of Hip Hop,cultural,10:00
2026-06-24,Black Scientists and Discoveries,inventions,18:00
2026-06-25,The Little Rock Nine,movements,10:00
2026-06-25,Historically Black Colleges and Universities,education,18:00
2026-06-26,The Life of Frederick Douglass,figures,10:00
2026-06-26,Black Journalists and Media,cultural,18:00
2026-06-27,Buffalo Soldiers,military,10:00
2026-06-27,African American Art Movements,cultural,18:00
2026-06-28,The Selma to Montgomery Marches,movements,10:00
2026-06-28,Black Inventors of the 20th Century,inventions,18:00
2026-06-29,The Life of Sojourner Truth,figures,10:00
2026-06-29,Black Poetry and Literature,cultural,18:00
2026-06-30,The Civil Rights Act of 1964,movements,10:00
2026-06-30,Black Excellence in Sports,figures,18:00
